GeneSymbol	example_TCGA-BH-A18U-11A-23R-A12D-07
ZNF121	143.8679
OR2J3	0.0000
HMOX1	377.8302
SYT4	0.4717
GPR137C	23.5849
AKAP12	2665.0943
PLEKHN1	53.7736
ZNF668	110.3774
GZMB	21.6981
SNRPA	859.9057
LTA4H	1755.6604
ZNF804A	1.8868
SPANXB2	0.0000
SLC23A2	1341.0377
SLC7A5P1	0.0000
SIX4	128.7736
OR8J1	0.0000
DCC	7.0755
AMPD1	16.0377
C21orf125	6.1321
QPCT	125.0000
MYBPH	2.3585
PRO0611	0.4717
MAOB	3577.3585
LCN2	200.4717
IGSF9B	65.5660
RAG1AP1	441.5094
LOC201651	3.3019
BAALC	125.4717
ST6GAL2	125.9434
RGP1	258.4811
MYCN	8.0189
MAP7D1	1872.1698
NSFL1C	1551.8868
GFI1B	0.0000
DEM1	152.8302
FURIN	2123.5849
CPN2	4.7170
GAS2L3	42.4528
ANK1	5.1887
ZBTB5	662.2642
FAM66A	3.3019
PABPC1L2B	0.0000
C1orf52	322.6415
TMEM132B	9.4340
LOC653501	238.2075
DVL3	2079.7170
SLC15A4	588.6792
KIF17	29.2453
RAB11B	1710.8491
OR52W1	0.0000
SEC1	11.3208
OR2H2	0.9434
SNAI2	366.0377
IL25	0.0000
FAM126A	1623.1132
CDC123	775.1840
LRRC55	8.4906
BTN2A2	391.9811
JAK2	597.6415
ASPDH	0.0000
EDNRB	633.4906
IFNE	1.4151
DDX3Y	0.0000
SLC1A6	0.9434
TMEM191A	5.1887
PANX1	407.0755
HRSP12	187.2642
KRT37	3.9858
TOMM6	1389.5708
KCNH1	10.3774
IL18R1	53.7736
ARHGAP19	1234.4340
CCDC146	148.5849
VIL1	0.0000
IL19	0.0000
MXRA7	2462.7358
CHAC2	23.5849
C1orf172	325.9434
MIER1	1101.4151
GSTZ1	366.9811
KCNIP3	135.8491
MADCAM1	0.4717
HSCB	148.5849
CYTL1	47.6415
CDKN2D	101.4151
GAL	1.8868
RNF150	258.0189
CDK13	1070.7547
SLC39A1	2508.0189
VIM	29505.8726
LOC401463	11.7925
EPO	1.4151
MGC12982	23.1132
AKR1B15	5.1887
INHBA	69.8113
POGZ	2727.8302
SHE	627.8302
TSPY3	0.0000
MRPS15	541.5094
TRPC4AP	2040.5660
IFT122	925.0000
WNT5A	448.1132
STON1-GTF2A1L	33.9340
CCDC149	650.0000
NUDT21	2971.2264
NR2C2	1572.5094
DAAM1	1046.2264
TTC33	409.9057
GP1BA	17.9245
CPNE7	24.5283
SNORD116-28	43.7972
TSPAN33	384.4340
SLC39A9	2156.1321
SYNCRIP	5304.2453
TMEM30B	1411.3208
OAS1	498.5849
DBF4B	123.5849
SCARNA2	0.4717
PLCB3	541.9811
KDM5C	2880.1887
C11orf92	235.8491
PSMA4	1303.3019
BTBD7	1221.2264
?	0.0000
SLC12A4	1360.3774
DAZ2	0.0000
STAB1	1473.3962
C14orf86	0.4717
SEMG1	0.0000
FEZF2	2.8302
CDK7	406.6038
SPHAR	128.8632
IFIT1B	0.0000
IL31	0.0000
CDC42SE1	3101.9717
TUFM	2674.0566
C1orf113	286.8774
C4orf50	1.4151
UNC13A	7.0755
GRXCR1	0.0000
HEXB	2307.5519
SNORA11	0.0000
AKAP14	0.0000
CHRNA6	0.4717
NPAS3	116.5094
FAM19A3	26.4151
FBXL13	17.9245
C9orf129	97.9057
UBXN6	1374.5283
LOC387646	39.1509
CYP21A2	86.5802
C20orf72	600.4717
STRN3	742.4528
PPP4C	1046.6981
PALM3	58.4906
SFRP5	6.1321
TC2N	3816.5094
NECAB1	215.0943
PCDHB4	341.0377
LOX	1193.3962
ARNT2	222.6415
AMZ2P1	201.4151
RABEP2	303.7736
KRR1	934.9198
GTF2H3	330.1887
FARSA	900.0000
TSGA14	275.0000
C17orf46	2.8302
SNORA30	0.0000
C18orf16	9.4340
STATH	1.4151
ZNF45	378.7736
C10orf71	0.0000
HSD17B10	758.4906
WDR86	118.8679
SH2D5	0.9434
CNKSR3	389.6226
CASP10	277.8302
PARN	1095.2830
