GeneSymbol	example_TCGA-LL-A5YM-01A-11R-A28M-07
ZNF121	26.4934
OR2J3	0.0000
HMOX1	3703.9868
SYT4	0.0000
GPR137C	26.4934
AKAP12	143.6760
PLEKHN1	60.1197
ZNF668	726.5317
GZMB	25.4745
SNRPA	2207.6169
LTA4H	2017.0679
ZNF804A	0.0000
SPANXB2	0.0000
SLC23A2	363.7753
SLC7A5P1	0.0000
SIX4	232.3271
OR8J1	0.0000
DCC	0.0000
AMPD1	2.5474
C21orf125	17.3226
QPCT	314.8643
MYBPH	15.7942
PRO0611	0.0000
MAOB	223.1563
LCN2	0.5095
IGSF9B	7.1328
RAG1AP1	6111.3234
LOC201651	0.0000
BAALC	30.0599
ST6GAL2	87.1227
RGP1	24.9650
MYCN	5.6044
MAP7D1	2274.8694
NSFL1C	2737.9952
GFI1B	28.5314
DEM1	147.7519
FURIN	12842.1857
CPN2	1.5285
GAS2L3	0.0000
ANK1	299.0702
ZBTB5	287.8614
FAM66A	0.0000
PABPC1L2B	0.0000
C1orf52	88.1416
TMEM132B	1.0190
LOC653501	94.2555
DVL3	1227.3596
SLC15A4	188.0015
KIF17	29.5504
RAB11B	3149.6625
OR52W1	0.0000
SEC1	0.5095
OR2H2	0.0000
SNAI2	108.0117
IL25	0.5095
FAM126A	46.3635
CDC123	1921.2839
LRRC55	10.6993
BTN2A2	383.1359
JAK2	163.0366
ASPDH	0.0000
EDNRB	60.1197
IFNE	0.0000
DDX3Y	0.0000
SLC1A6	0.0000
TMEM191A	322.5067
PANX1	168.1314
HRSP12	426.9520
KRT37	19.8701
TOMM6	6016.5482
KCNH1	101.3884
IL18R1	6.1139
ARHGAP19	182.1067
CCDC146	23.9460
VIL1	71.8380
IL19	0.5095
MXRA7	3164.9471
CHAC2	41.7781
C1orf172	441.7272
MIER1	233.8556
GSTZ1	2772.6404
KCNIP3	297.0322
MADCAM1	7.1328
HSCB	884.9828
CYTL1	28.5314
CDKN2D	703.6046
GAL	82.5373
RNF150	15.2847
CDK13	394.3447
SLC39A1	3602.5984
VIM	18439.3479
LOC401463	2.0380
EPO	1.0190
MGC12982	98.3314
AKR1B15	6.6234
INHBA	22.4175
POGZ	1091.8354
SHE	57.5723
TSPY3	0.0000
MRPS15	1641.0648
TRPC4AP	3183.7982
IFT122	6048.6562
WNT5A	45.3445
STON1-GTF2A1L	0.0000
CCDC149	378.0410
NUDT21	1661.4444
NR2C2	38.8282
DAAM1	64.1956
TTC33	182.9066
GP1BA	0.0000
CPNE7	63.6862
SNORD116-28	0.5197
TSPAN33	503.3754
SLC39A9	2068.0168
SYNCRIP	1410.7757
TMEM30B	867.1507
OAS1	2063.9409
DBF4B	135.0146
SCARNA2	6.6234
PLCB3	657.7506
KDM5C	1600.8152
C11orf92	2.0380
PSMA4	3920.0102
BTBD7	319.9592
?	0.0000
SLC12A4	1004.1371
DAZ2	0.0000
STAB1	1386.3304
C14orf86	0.0000
SEMG1	0.0000
FEZF2	0.0000
CDK7	346.9622
SPHAR	189.1173
IFIT1B	0.0000
IL31	0.0000
CDC42SE1	2214.6580
TUFM	8604.2542
C1orf113	204.1574
C4orf50	3.5664
UNC13A	2.0380
GRXCR1	0.0000
HEXB	2828.1748
SNORA11	0.0000
AKAP14	0.0000
CHRNA6	0.0000
NPAS3	6.6234
FAM19A3	4.0759
FBXL13	1.0190
C9orf129	3.6734
UBXN6	3312.1895
LOC387646	4.0759
CYP21A2	249.5835
C20orf72	528.3403
STRN3	266.4629
PPP4C	3940.3898
PALM3	12.2277
SFRP5	7.1328
TC2N	368.8702
NECAB1	23.9460
PCDHB4	28.0219
LOX	151.3183
ARNT2	215.5139
AMZ2P1	289.8994
RABEP2	1804.1014
KRR1	409.0842
GTF2H3	77.4424
FARSA	3775.3152
TSGA14	243.5359
C17orf46	6.6234
SNORA30	0.0000
C18orf16	0.0000
STATH	0.0000
ZNF45	125.3344
C10orf71	0.0000
HSD17B10	3369.7618
WDR86	22.4175
SH2D5	0.0000
CNKSR3	21.9080
CASP10	78.4613
PARN	1265.0618
ALKBH6	515.6031
SAMD7	0.0000
FAM22F	3.0569
CHAT	0.0000
NDE1	285.2070
PIK3CB	680.1681
THOC4	5627.3086
SEPT7P2	63.1767
AGBL4	1.5285
ABCC4	60.1197
GALNT3	35.6642
LOC121952	2.5474
RPSAP58	19236.7851
LOC284023	108.0117
YY2	1.5285
IQCA1	15.2847
ZC3H14	963.9536
NTRK3	2.0380
FLJ43390	0.0000
EXO1	311.8074
DBX2	1.5285
VTN	5.0949
SFI1	716.3419
IRX3	633.2951
RPL24	19026.8756
ZNF71	353.5855
SCARB1	2676.8565
NOP14	935.1115
GAB1	227.2322
URB1	436.4387
APOBEC3D	15.7942
CDK2AP2	1943.1920
KLHDC8A	19.8701
STEAP2	36.1737
CCIN	6.6234
STMN2	81.5183
LRRC8D	328.1111
LOC400891	0.0000
USP5	2832.2507
TP53INP1	1445.9305
SNORD115-1	0.0000
NEUROG2	0.0000
RAB9A	155.3942
RPS5	31265.8260
SPINK1	2.5474
CHRDL2	6.1139
GPR35	21.9080
CTRC	1.0190
GNG8	0.0000
SAFB2	1473.4429
PAIP2	2026.7482
PPY2	0.0000
NIPBL	784.1039
TMEM138	488.0907
PTX4	0.0000
PRSS27	102.9168
PEBP1	10314.1001
ZNF365	22.9270
ACIN1	2536.2374
ECM2	105.9738
GPR172B	1.0190
IGFL2	14.7752
EVX2	0.0000
RBM24	0.0000
MYO18A	731.3412
GALR1	0.0000
EFNB3	20.8891
DAB1	0.0000
SFRS13B	4.5854
PCBP4	765.2528
TBL1XR1	1537.1290
ZC3H4	899.2485
HES1	213.9855
MEF2D	2417.0169
ELP2	1442.8735
LOC151162	1277.7990
PRKRIP1	1202.4557
RASL10B	168.6409
FAT4	19.8701
CES2	781.0470
GCSH	12.2277
RNF144A	340.8483
TICAM2	120.2395
GLS	322.5067
GRID2	0.0000
C14orf53	0.0000
DYNC1H1	8083.0467
FLJ33360	0.0000
ZFP161	183.9256
HBE1	0.0000
SLC22A18AS	2.5474
ABHD4	809.5784
FAM22G	0.0000
PRAMEF8	0.0000
VPS28	7166.9851
ZSCAN5A	30.5694
TMEM131	743.3448
DPYSL2	771.3667
HLA-DOB	16.9762
SSFA2	90.1796
TBC1D10A	1187.8436
DCBLD1	168.6409
MOSPD1	91.1986
CCR6	1.5285
PCP2	885.4923
NANOG	0.0000
NCRNA00051	0.0000
AMIGO1	60.6292
RNF185	1124.9522
GPR144	0.0000
FAM24A	0.0000
PDE6C	0.0000
S100A14	29773.0225
USP4	953.2544
SPDYA	8.3607
MOSC2	711.2470
FRG1B	31.0788
MMRN1	24.4555
FLJ40852	14.7752
TMEM167B	745.8922
ATP6V1C2	64.9191
FGF23	0.0000
DEDD2	1375.6209
DTWD2	93.2365
EIF2AK1	5110.9871
CDK15	0.5095
PAPSS1	754.5536
C6orf115	578.2703
EFNA3	240.9884
LOC348840	0.0000
RIN2	631.7667
SNORD116-23	0.0000
CAPN8	463.6352
C1orf204	57.3532
NOX4	188.5110
MOCOS	486.5622
OR2M7	0.0000
EEF2	50578.5250
KLRC2	0.0000
NYX	0.0000
MAMSTR	48.4015
BTBD12	187.4920
BRD8	1128.0092
PTPRVP	0.5095
KRT72	0.0000
MIIP	959.8777
AIPL1	0.0000
SLC2A3	359.6994
SH3GL1	2395.1089
GALNT9	0.0000
LOC91149	0.0000
SHISA7	0.0000
ENGASE	747.9302
OVOL2	804.9930
ALKBH4	678.9250
SLC19A1	839.6383
LOC727896	3.5664
TUBA4B	0.0000
NCRNA00029	0.0000
SNORA20	0.0000
C9orf109	38.7212
NME4	4014.2657
ADIPOR1	5403.1334
SLC25A46	133.4862
LOC729156	4.4427
ENPP3	1.5285
SLC3A2	3035.5369
C17orf51	38.2117
KIAA1210	1.5285
YBX1	4376.0031
KRTAP12-4	0.0000
